"number"	"text_data_clean"
"ACTRN12613000214730"	"to detect the minimum clinically important difference in snot-22 score of 9 points between-group with 80 percent power alpha of 0.05 and a sd of 11 based on pilot data in 23 rpa patients meeting the eligibility criteria we calculated we would need a total of 25 participants per group. a total of 56 participants will allow for 10 percent loss to follow-up. continuous outcomes will be analysed as mean between-group differences with 95 percent cis or using the mann-whitney u-test if data are not normally distributed. adverse events will be analysed as relative risks. all analyses will follow intention-to-treat."
"ACTRN12613000217707"	"all analyses will be conducted on an intention-to-treat basis where outcome data is available."
"ACTRN12613000218796"	"linear mixed model analyses will be conducted for each outcome where assessments data broken into 7 week blocks are nested within the residents residents are nested within sites and sites are nested within-cluster and each are treated as random effects indicating that they are representative of a broader population of time points residents and nursing facilities. the intervention will be considered as a fixed effect i.e. that it has not been drawn from a broader population of interventions rather that it is a specific intervention of interest. two styles of analysis will be undertaken. the first will only involve data from the stepped-wedge cluster rct design. the a latin-small-ligature-oe roll-out a block for each site and the 9 week block following this will be excluded from the analysis in each case as although the intervention has commenced at each site it is not yet fully instituted this time that will be excluded from the analysis is not included in the 504 day time period of the stepped-wedge trial. a total of 18 weeks of block-out time is required to ensure that there is sufficient time for staff at each site to be trained for a suitable general practitioner to be recruited for them to give notice for leaving their previous employment and commencing at the research site. intervention by time interaction effects will also be examined. secondary analyses will be conducted that incorporate 12 months of retrospectively collected pre-trial data and 12 months of prospectively collected post-trial data. economic analysis the health economics analyses will include investigations of reductions in direct medical costs foreseen due to changes in the rates of hospital admissions infections er visits afterhours consultations medication usage all types including antibiotics psychotropic analgesic etc. and supplemental feeds and reductions in indirect costs due to lost productivity that are envisaged with increased staff satisfaction leading to decreased sick leave and staff turnover as well as decreased time spent on resolution of care and gp-related complaints. these costs will offset to some extent the salary costs of employing resident gps. medicare billing for consultations and procedures will similarly be quantified to calculate additional offset of salary costs. health economics analyses will include the evolution of direct and indirect costs for intervention versus control over time. units of resource consumption will be combined with australian unit costs to calculate direct medical costs. for example published pharmaceutical benefits scheme medication cost data will be combined with medication usage data from patient records to calculate costs of medications. medical benefits scheme item numbers and reimbursement values will be combined medical consultations procedures and investigations to calculate the total costs of these items. in the case of hospitalizations several methods will be employed. as a first pass australian diagnosis-related group costs will be used based on the diagnosis of the condition that led to a hospital separation. a weakness of doing this is that for aged care residents the average length of stay is likely to be higher than the average length of stay used to calculate the a-drg costs. to address this the number of days in hospital will be recorded by bupa for each hospitalization separation. this information is currently already captured in the patient records. this information will be used to up-scale the hoteling and other relevant part of the drg cost where appropriate to partially account for the higher costs of aged care residents a hospitalisation costs. the benefits of this approach are 1. that it will utilize routinely collected information easily available to bupa without having to gain patient consent as would be required if a detailed hospital patient record analysis was performed 2. and as the information is already currently collected by bupa there will be no additional research costs. to further account for uncertainty relating to hospitalization costs sensitivity analysis will be performed using different hospitalization-related cost assumptions varying costs within plausible ranges. the impact of doing this on the total costs for the intervention and control arms will be assessed. changes in indirect costs due to lost staff productivity will be assessed using human resource data routinely collected by bupa. days off work will be combined with daily salary to estimate the value of lost productivity from sick leave. descriptive and comparative statistical analyses will be performed. cost-consequence analyses will summarize the direct indirect and total costs per resident in each treatment arm as well as the differences in these costs between each treatment arm. further analyses may include cost-benefit ratio return on investment and incremental cost-effectiveness ratio. as health utility data have not been and will not be collected it will not be possible to calculated costs per quality-adjusted life years gained."
"ACTRN12613000220763"	"in phase 1 40 participants we will describe the population detail the time spent and number of movement repetitions performed in each game their view of its acceptability and any safety issues. non-parametric statistics will be used to explore utility according to functional impairment at time of testing based on participants a motor assessment scale. in phase 2 16 participants in addition to the summaries performed in phase 1 we will describe the participants a changes in balance and mobility over the 8 sessions. independent t-test or mann-whitney u-test will be used to compare normally and non-normally distributed data respectively. repeated measures analysis-of-variance anova will be used to compare changes over time and between-group changes in data for the outcome measures. the level of significance will be set at 0.05."
"ACTRN12613000226707"	"denial substance use behavioural disengagement and self-blame subscales of the brief cope were coded as maladaptive coping. distraction active coping emotional support instrumental support venting positive reframing planning humour acceptance religion were coded as adaptive coping. normality was checked using the kolmogorov-smirnoff a s test. descriptive statistics including means sd medians inter-quartile ranges counts and proportions were used to describe the study population in the two treatment arms at baseline. univariate comparisons were conducted with the t-test and the paired t-test on the stai the brief cope and the brief whoqol main scales as they were normally distributed. brief cope a s individual subscales were not normally distributed and univariate comparisons were done with the mann-whiteney and wilcoxon signed-rank tests. the analysis of co-variance was conducted to compare the two treatment groups in anxiety coping and quality of life post intervention and adjusted for baseline. the level of significance for all the comparisons was set as less-than .05."
"ACTRN12613000227796"	"the incidence of phantom limb pain at 5 days 6 months and one year would be compared with chi-squared testing for categorical data phantom limb pain present a yes or no. the pain scores and fentanyl consumption would be described in terms of mean standard deviation and range and compared with student a s t-test for comparing numerical data."
"ACTRN12613000228785"	"the primary outcome of this study is the time to fragility fracture and the secondary outcome is falls. the incidence rate of outcomes will be expressed as the percentage of events per years of follow-up taking into account the censorship of follow-up data. kaplan a meier estimates will be used to obtain the proportion of subjects who would have an event during the follow-up period. the cox a s proportional hazards model will be used to examine the effect of intervention on fracture risk according to the intention-to-treat principle. occurrences of outcomes will be compared with the use of hazard ratio and 95 percent confidence limits. since the events of fracture and fall are expected to be correlated i.e. most fractures result from falls we will use the multi-state cox-markov model to account for the correlation. the r statistical environment will be used for the statistical analysis. we will apply modern statistical methods to deal with attrition in this cluster randomised clinical trial. two main methods for dealing with missing outcomes are bayesian analyses and imputation. in the bayesian approach we will generate the posterior distribution of outcome using monte carlo methods. combining this estimate with the known outcome provides a numerator for estimating the incidence of fractures and falls. under certain assumptions about the missing data it has been shown that valid inferences can be obtained through a bayesian analysis. in the imputation approach missing data will be imputed with one or more suitable estimates prior to the analysis according to the methods described by little and rubin. the distribution of continuous covariates e.g. bone turnover markers will be checked for normality by the standard shapiros statistic test. differences in baseline covariates between treatment groups will be tested by unpaired t-test for continuous variables or binomial test for categorical variables. the effect of intervention on variables e.g. bone remodelling will be analysed by the mixed-effects model in which the change in bone markers will be modelled as a function of treatment group time of follow-up and covariates. the r statistical package will be used for the mixed-effects analysis. data were presented as mean a plus-or-minus sd unless stated otherwise. the p-value less-than 0.05 is considered statistically significant but values less-than 0.1 will be reported to indicate trends."
"ACTRN12613000229774"	"rong-yang-jyh-gan-tang therapy between the treatment group and the placebo group with sex stratified analysis for comparison of serum liver transaminases and hcv viral load reduction ratio uses fisher a s exact test. traditional chinese medicine tcm syndromes fatigue scale and 36-item short form health survey sf-36 quality of life scale improvement between the two groups use fisher exact test by categorical variables and use the mann-whitney u-test by quantify variables. values of serum liver transaminase hcv viral load that patients treat with rong-yang-jyh-gan-tang and other quantitative indicators use wilcoxon signed-rank test analysis and categorical variables use mcnemar chi-square test analysis."
"ACTRN12613000232730"	"descriptive statistics to examine characteristics at baseline and 2x2 anova to test whether the trial affected iron status knowledge or intake."
"ACTRN12613000234718"	"the study groups arms will be assessed at time of allocation for homogeneity in key socio-demographic characteristics and immutable factors eg gender age schooling postcode diagnosis and all baseline outcome measures. change over time in each outcome measure will be calculated using repeated measures anova models with study contact point group and key demographic features as independent variables. partial least squares models pls using pathway analysis will be applied to the multiple outcome immutable and mutable independent variables at each time point to determine different spatial arrangements and the significant factors which impact on data clusters."
"ACTRN12613000237785"	"a range of pro-inflammatory cytokines have previously been demonstrated to increase following exposure to leukodepleted unwashed packed red blood cells. however there is inconsistency in the timing of post-transfusion measurement in the literature. il-17a has been shown to be increased at multiple time-points post-transfusion therefore the current studies sample size was based on the delta change the difference between post- and pre-concentrations in il-17a from pilot data in 40 extremely preterm newborns exposed to unwashed packed red blood cells. the mean delta change was 15.3 pgml with a standard deviation of 13.1 pgml. it was calculated that a sample size of 77 newborns per group would provide 90 percent power to detect a group difference of 66 pgml on-half of a sd of the mean il-17a with an alpha equal-to 0.05. since it could not be determined prospectively which newborns would be transfused enrolment exceeded that necessary for the sample size calculation to ensure adequate power for the primary aim in transfused subjects. very preterm newborns will have a median number of 3-5 transfusion exposures during their primary hospital admission. therefore transfusion associated changes in circulating cytokines and markers of endothelial activation for the first 4 transfusions . analysis will be conducted blinded to study allocation. as the plasma cytokine concentrations are not normally distributed the friedman test will be used to assess differences between baseline cytokine concentrations prior to each transfusion exposure with the alpha level set at 0.01 to adjust for multiple comparisons. differences in pre- and post-transfusion levels of plasma cytokines will be assessed using the wilcoxon signed-rank test with the p-value less-than 0.05 considered significant. where the pre- post-transfusion change is significant for both unwashed and washed groups the magnitude of the difference delta change between the groups will be compared by mann-whitney u-test. delta changes in plasma cytokines and markers of endothelial activation in each group across the transfusion exposures will be analysed using a linear mixed model. heterogenous compound symmetry will be used as the repeated covariance type and lsd as the confidence interval adjustment to compare changes within treatment groups. to investigate whether transfusion related changes in cytokines and markers of endothelial activation were influenced by gestational age sex age at first transfusion and pre-transfusion haemoglobin these variables will be included as co-variates. temporal changes in the cardiovascular and respiratory parameters which comprise the secondary outcomes will be analysed using linear mixed models with transfusion pack type unwashed or washed used as a fixed factor and post-hoc paired t-test with a bonferroni correction. the health economic analysis will not be conducted due to lack of funding. the study will therefore only have the existing primary and secondary clinical outcomes"
"ACTRN12613000238774"	"data will be analysed using mixed model manova to test for differences between control and experimental conditions in levels of mindfulness. second to investigate whether components of mindfulness predict levels of distress and avoidance behaviours general linear model analyses will be conducted. thirdly to determine whether mindfulness moderates the relationship between distress and avoidance behaviours logistic regression will be conducted with possible demographic confounds age and sex entered in the first step measures of distress andor avoidance behaviours entered in the second mindfulness entered in the third step and finally interactions between standardised distress avoidance andor mindfulness components in the final step allowing a test of whether mindfulness components moderate the link between the distress and avoidance behaviours in cancer patients."
"ACTRN12613000239763"	"small phase 2 study that will use primarily descriptive statistics."
"ACTRN12613000240741"	"fisher exact tests acceptable group treatment difference of 15 percent based on previous literature to calculate ci 95 percent"
"ACTRN12613000241730"	"problematic to all available single-centre pharmacokinetic studies in intensive care units is a lack of statistical power caused by a low throughput of patients per intensive care unit as well as extreme interpatient pharmacokinetic variability. for this reason multiple intensive care units with experience in pharmacokinetic studies need to be coordinated to enrol patients to achieve acceptable statistical power. the significant variability of antibiotic exposures in intensive care units patients receiving renal replacement therapy is due to the complex interaction of multiple renal replacement therapy modalities and setting and patient factors. a robust analysis of a large data set of patients receiving different forms of renal replacement therapy and the associated clinical and pharmacokinetic changes over time will enable description of the pharmacokinetic distribution and variability in this patient population. as the fundamental requirement in this study is to determine the distributions of pharmacokinetic parameters the power analysis is aimed at establishing the confidence boundaries of individual pharmacokinetic parameters under different renal replacement therapy modalities and settings. to construct a 95 percent confidence boundary of clearance with standard deviation as high as 2.5 lhr with 80 percent power we need 45 patients a data for a particular renal replacement therapy modality. for the three modalities we need a minimum of 150 patients per antibiotic. our total sample is 450 patients to allow for potential attrition."
"ACTRN12613000242729"	"paired t-test"
